Rank,LIFNR,NAME1,MATNR,MAKTX,LAND1,EffectiveCostPerUnit_USD,FinalScore,POLineItemCount,AvgUnitPriceUSD_raw,StdDevUnitPriceUSD_raw,PriceVolatility_raw,PriceTrend_raw_slope,TariffImpact_raw_percent,AvgLeadTimeDays_raw,LeadTimeVariability_raw_days,OnTimeRate_raw,InFullRate_raw,cost_BasePrice,cost_Tariff,cost_Holding_LeadTime,cost_Holding_LTVariability,cost_Holding_Lateness,cost_Inefficiency_InFull,cost_Risk_PriceVolatility,cost_Impact_PriceTrend,cost_Logistics,AvgUnitPriceUSD_Norm,PriceVolatility_Norm,PriceTrend_Norm,TariffImpact_Norm,AvgLeadTimeDays_Norm,LeadTimeVariability_Norm,OnTimeRate_Norm,InFullRate_Norm
1,58,UtilitiesOne,5901,EMN-HANDLE,US,248.6436,0.8560,9,237.1250,15.1884,0.0618,-0.0992,0.0000,52.0000,21.6449,0.6667,0.4444,237.1250,0.0000,6.0808,4.1763,0.3078,296.4062,3.7971,-4.4653,1.6219,1.0000,0.9842,0.5952,1.0000,0.9130,0.9468,0.7679,0.3609
2,55,UtilitiesOne,5901,EMN-HANDLE,US,255.4400,0.7824,14,237.1250,15.8197,0.0917,0.0233,0.0000,56.0000,24.5974,0.5714,0.7143,237.1250,0.0000,6.5485,4.7460,0.3957,94.8500,3.9549,1.0478,1.6219,1.0000,0.6157,0.4693,1.0000,0.8261,0.7619,0.5823,0.7614
3,54,UtilitiesOne,5901,EMN-HANDLE,US,255.4676,0.7573,11,237.1250,15.6467,0.0895,-0.0224,0.0000,69.0000,28.4755,0.7273,0.6364,237.1250,0.0000,8.0687,5.4943,0.2518,135.5000,3.9117,-1.0059,1.6219,1.0000,0.6419,0.5162,1.0000,0.5435,0.5189,0.8861,0.6458
4,56,UtilitiesOne,5901,EMN-HANDLE,US,260.2900,0.6765,13,237.1250,15.1884,0.0815,0.0391,0.0000,87.0000,27.1796,0.3846,0.6923,237.1250,0.0000,10.1736,5.2443,0.5682,105.3889,3.7971,1.7598,1.6219,1.0000,0.7418,0.4530,1.0000,0.1522,0.6001,0.2181,0.7288
5,52,UtilitiesOne,5901,EMN-HANDLE,US,261.4448,0.7150,23,237.1250,15.2196,0.0841,0.0597,0.0000,92.0000,26.5800,0.6522,0.6957,237.1250,0.0000,10.7583,5.1286,0.3212,103.7422,3.8049,2.6849,1.6219,1.0000,0.7093,0.4319,1.0000,0.0435,0.6377,0.7397,0.7338
6,53,UtilitiesOne,5901,EMN-HANDLE,DE,285.0655,0.7401,14,237.1250,15.1884,0.0754,-0.0797,10.0000,55.0000,31.3625,0.7143,0.6429,237.1250,23.7125,6.4316,6.0513,0.2638,131.7361,3.7971,-3.5876,11.2717,1.0000,0.8161,0.5751,0.6000,0.8478,0.3381,0.8608,0.6554
7,66,"AdminSupply, Inc",6347,EMN-THROTTLE,US,292.7694,0.7056,13,279.0000,27.4222,0.0946,-0.2680,0.0000,77.0000,27.1789,0.5385,0.7692,279.0000,0.0000,10.5944,6.1702,0.5169,83.7000,6.8555,-12.0584,1.6907,0.7937,0.5794,0.7685,1.0000,0.3696,0.6002,0.5180,0.8430
8,57,UtilitiesOne,5901,EMN-HANDLE,ID,294.7663,0.6046,12,237.1250,15.7932,0.0934,0.0452,10.0000,67.5000,30.6471,0.4167,0.5833,237.1250,23.7125,7.8933,5.9133,0.5386,169.3750,3.9483,2.0338,13.6015,1.0000,0.5948,0.4468,0.6000,0.5761,0.3829,0.2806,0.5670
9,51,UtilitiesOne,5901,EMN-HANDLE,CN,321.9927,0.5580,17,237.1250,17.7501,0.1031,-0.1244,25.0000,64.0000,28.0280,0.4706,0.6471,237.1250,59.2812,7.4841,5.4079,0.4888,129.3409,4.4375,-5.5986,13.3667,1.0000,0.4751,0.6210,0.0000,0.6522,0.5470,0.3857,0.6616
10,63,"AdminSupply, Inc",6347,EMN-THROTTLE,US,328.1721,0.6478,22,308.0000,28.0362,0.0922,-0.1363,0.0000,64.0000,28.0667,0.4545,0.5909,308.0000,0.0000,9.7210,7.0341,0.6744,213.2308,7.0090,-6.1328,1.8665,0.6509,0.6093,0.6332,1.0000,0.6522,0.5446,0.3544,0.5783
